,dist,nodeA,nodeB
1970-01-01 04:15:39.016319547+00:00,38.052597045898,9,12
1970-01-01 04:15:39.016319550+00:00,21.023796081543,9,11
1970-01-01 04:15:39.016319553+00:00,34.828147888184,9,0
1970-01-01 04:15:39.016319559+00:00,78.230430603027,10,1
1970-01-01 04:15:39.016319562+00:00,13.601470947266,10,5
1970-01-01 04:15:39.016319565+00:00,78.854293823242,10,6
1970-01-01 04:15:39.016319568+00:00,35.608985900879,10,12
1970-01-01 04:15:39.016319570+00:00,65.391128540039,10,9
1970-01-01 04:15:39.016319573+00:00,81.608825683594,10,7
1970-01-01 04:15:39.016319576+00:00,69.835517883301,10,8
1970-01-01 04:15:39.016319579+00:00,38.013156890869,10,0
1970-01-01 04:15:39.016319582+00:00,30.675724029541,10,3
1970-01-01 04:15:39.016319588+00:00,44.294467926025,11,1
1970-01-01 04:15:39.016319591+00:00,39.115215301514,11,7
1970-01-01 04:15:39.016319594+00:00,58.0,11,4
1970-01-01 04:15:39.016319597+00:00,64.845970153809,11,8
1970-01-01 04:15:39.016319600+00:00,58.137767791748,11,6
1970-01-01 04:15:39.016319604+00:00,37.696155548096,11,5
1970-01-01 04:15:39.016319606+00:00,17.029386520386,11,12
1970-01-01 04:15:39.016319609+00:00,21.023796081543,11,9
1970-01-01 04:15:39.016319612+00:00,28.017850875854,11,0
1970-01-01 04:15:39.016319618+00:00,17.029386520386,12,11
1970-01-01 04:15:39.016319621+00:00,73.246162414551,12,8
1970-01-01 04:15:39.016319625+00:00,60.166435241699,12,1
1970-01-01 04:15:39.016319628+00:00,23.430749893188,12,5
1970-01-01 04:15:39.016319632+00:00,56.142673492432,12,7
1970-01-01 04:15:39.016319635+00:00,48.764739990234,12,4
1970-01-01 04:15:39.016319638+00:00,63.56099319458,12,13
1970-01-01 04:15:39.016319643+00:00,71.063354492188,12,6
1970-01-01 04:15:39.016319647+00:00,33.120990753174,12,0
1970-01-01 04:15:39.016319653+00:00,71.610054016113,13,7
1970-01-01 04:15:39.016319656+00:00,44.38468170166,13,6
1970-01-01 04:15:39.016319660+00:00,41.593269348145,13,4
1970-01-01 04:15:39.016319664+00:00,42.0,13,2
1970-01-01 04:15:39.016319667+00:00,56.859474182129,13,5
1970-01-01 04:15:39.016319671+00:00,58.0,13,1
1970-01-01 04:15:39.016319674+00:00,26.476404190063,13,3
1970-01-01 04:15:39.016319677+00:00,64.621978759766,13,9
1970-01-01 04:15:39.016319681+00:00,33.060550689697,13,0
